timeFrame	GP_D_w	GP_D_a	UTC_D_w	UTC_D_a	UTC_A_w	UTC_A_a	MAJORS_D_w	MAJORS_D_a	MAJORS_A_w	MAJORS_A_a	RESUS_D_w	RESUS_D_a	RESUS_A_w	RESUS_A_a
1	0	0	3.12	0.336	0.216	0.056	1.176	1.4	0.432	0.736	0.056	0.128	0.072	0.272
2	0	0	2.73	0.294	0.189	0.049	1.029	1.225	0.378	0.644	0.049	0.112	0.063	0.238
3	0	0	2.34	0.252	0.162	0.042	0.882	1.05	0.324	0.552	0.042	0.096	0.054	0.204
4	0	0	1.95	0.21	0.135	0.035	0.735	0.875	0.27	0.46	0.035	0.08	0.045	0.17
5	0	0	1.56	0.168	0.108	0.028	0.588	0.7	0.216	0.368	0.028	0.064	0.036	0.136
6	0	0	1.17	0.126	0.081	0.021	0.441	0.525	0.162	0.276	0.021	0.048	0.027	0.102
7	0	0	0.78	0.084	0.054	0.014	0.294	0.35	0.108	0.184	0.014	0.032	0.018	0.068
8	0	0	2.4063	0.25914	0.16659	0.04319	0.90699	1.07975	0.33318	0.56764	0.04319	0.09872	0.05553	0.20978
9	0.98135	0.01033	4.99972	0.25825	0.45452	0.05165	1.033	0.60947	0.74376	0.74376	0.05165	0.06198	0.09297	0.24792
10	1.3775	0.0145	7.018	0.3625	0.638	0.0725	1.45	0.8555	1.044	1.044	0.0725	0.087	0.1305	0.348
11	1.77365	0.01867	9.03628	0.46675	0.82148	0.09335	1.867	1.10153	1.34424	1.34424	0.09335	0.11202	0.16803	0.44808
12	2.16885	0.02283	11.04972	0.57075	1.00452	0.11415	2.283	1.34697	1.64376	1.64376	0.11415	0.13698	0.20547	0.54792
13	2.565	0.027	13.068	0.675	1.188	0.135	2.7	1.593	1.944	1.944	0.135	0.162	0.243	0.648
14	2.4149	0.02542	12.30328	0.6355	1.11848	0.1271	2.542	1.49978	1.83024	1.83024	0.1271	0.15252	0.22878	0.61008
15	2.26385	0.02383	11.53372	0.59575	1.04852	0.11915	2.383	1.40597	1.71576	1.71576	0.11915	0.14298	0.21447	0.57192
16	2.11375	0.02225	10.769	0.55625	0.979	0.11125	2.225	1.31275	1.602	1.602	0.11125	0.1335	0.20025	0.534
17	1.96365	0.02067	10.00428	0.51675	0.90948	0.10335	2.067	1.21953	1.48824	1.48824	0.10335	0.12402	0.18603	0.49608
18	1.8126	0.01908	9.23472	0.477	0.83952	0.0954	1.908	1.12572	1.37376	1.37376	0.0954	0.11448	0.17172	0.45792
19	1.6625	0.0175	8.47	0.4375	0.77	0.0875	1.75	1.0325	1.26	1.26	0.0875	0.105	0.1575	0.42
20	1.5124	0.01592	7.70528	0.398	0.70048	0.0796	1.592	0.93928	1.14624	1.14624	0.0796	0.09552	0.14328	0.38208
21	1.36135	0.01433	6.93572	0.35825	0.63052	0.07165	1.433	0.84547	1.03176	1.03176	0.07165	0.08598	0.12897	0.34392
22	1.21125	0.01275	6.171	0.31875	0.561	0.06375	1.275	0.75225	0.918	0.918	0.06375	0.0765	0.11475	0.306
23	0	0	4.3563	0.46914	0.30159	0.07819	1.64199	1.95475	0.60318	1.02764	0.07819	0.17872	0.10053	0.37978
24	0	0	3.7362	0.40236	0.25866	0.06706	1.40826	1.6765	0.51732	0.88136	0.06706	0.15328	0.08622	0.32572
