timeFrame	MAJORS_D_w	MAJORS_D_a	MAJORS_A_w	MAJORS_A_a
1	1.124925	1.124925	3.67525	3.67525
2	1.124925	1.124925	3.67525	3.67525
3	1.124925	1.124925	3.67525	3.67525
4	1.124925	1.124925	3.67525	3.67525
5	1.117125	1.117125	4.68	4.68
6	1.117125	1.117125	4.68	4.68
7	1.117125	1.117125	4.68	4.68
8	1.117125	1.117125	4.68	4.68
9	1.072925	1.072925	4.59025	4.59025
10	1.072925	1.072925	4.59025	4.59025
11	1.072925	1.072925	4.59025	4.59025
12	1.072925	1.072925	4.59025	4.59025
13	1.054725	1.054725	3.908	3.908
14	1.054725	1.054725	3.908	3.908
15	1.054725	1.054725	3.908	3.908
16	1.054725	1.054725	3.908	3.908
17	1.093725	1.093725	3.86425	3.86425
18	1.093725	1.093725	3.86425	3.86425
19	1.093725	1.093725	3.86425	3.86425
20	1.093725	1.093725	3.86425	3.86425
21	1.150925	1.150925	3.55275	3.55275
22	1.150925	1.150925	3.55275	3.55275
23	1.150925	1.150925	3.55275	3.55275
24	1.150925	1.150925	3.55275	3.55275
