timeFrame	RESUS_D_w	RESUS_D_a	RESUS_A_w	RESUS_A_a
1	1.5053125	1.5053125	3.93025	3.93025
2	1.5053125	1.5053125	3.93025	3.93025
3	1.5053125	1.5053125	3.93025	3.93025
4	1.5053125	1.5053125	3.93025	3.93025
5	1.4978125	1.4978125	4.935	4.935
6	1.4978125	1.4978125	4.935	4.935
7	1.4978125	1.4978125	4.935	4.935
8	1.4978125	1.4978125	4.935	4.935
9	1.4553125	1.4553125	4.84525	4.84525
10	1.4553125	1.4553125	4.84525	4.84525
11	1.4553125	1.4553125	4.84525	4.84525
12	1.4553125	1.4553125	4.84525	4.84525
13	1.4378125	1.4378125	4.163	4.163
14	1.4378125	1.4378125	4.163	4.163
15	1.4378125	1.4378125	4.163	4.163
16	1.4378125	1.4378125	4.163	4.163
17	1.4753125	1.4753125	4.11925	4.11925
18	1.4753125	1.4753125	4.11925	4.11925
19	1.4753125	1.4753125	4.11925	4.11925
20	1.4753125	1.4753125	4.11925	4.11925
21	1.5303125	1.5303125	3.80775	3.80775
22	1.5303125	1.5303125	3.80775	3.80775
23	1.5303125	1.5303125	3.80775	3.80775
24	1.5303125	1.5303125	3.80775	3.80775
