timeFrame	UTC_D_w	UTC_D_a	UTC_A_w	UTC_A_a
1	0.5458	0.5458	3.4765	3.4765
2	0.5458	0.5458	3.4765	3.4765
3	0.5458	0.5458	3.4765	3.4765
4	0.5458	0.5458	3.4765	3.4765
5	0.5434	0.5434	4.48125	4.48125
6	0.5434	0.5434	4.48125	4.48125
7	0.5434	0.5434	4.48125	4.48125
8	0.5434	0.5434	4.48125	4.48125
9	0.5298	0.5298	4.3915	4.3915
10	0.5298	0.5298	4.3915	4.3915
11	0.5298	0.5298	4.3915	4.3915
12	0.5298	0.5298	4.3915	4.3915
13	0.5242	0.5242	3.70925	3.70925
14	0.5242	0.5242	3.70925	3.70925
15	0.5242	0.5242	3.70925	3.70925
16	0.5242	0.5242	3.70925	3.70925
17	0.5362	0.5362	3.6655	3.6655
18	0.5362	0.5362	3.6655	3.6655
19	0.5362	0.5362	3.6655	3.6655
20	0.5362	0.5362	3.6655	3.6655
21	0.5538	0.5538	3.354	3.354
22	0.5538	0.5538	3.354	3.354
23	0.5538	0.5538	3.354	3.354
24	0.5538	0.5538	3.354	3.354
